n,repetition,seed,method,dimension,runtime_seconds,status,error,timing_scope
200,5,21161221,SHAP,10,1461.391831887886,SUCCESS,,evaluate_only
400,5,21161221,CPI,50,105.50744626997039,SUCCESS,,evaluate_only
400,5,21161221,LOCO,50,103.38376499712467,SUCCESS,,evaluate_only
400,5,21161221,nLOCO,50,213.36490174476057,SUCCESS,,evaluate_only
400,5,21161221,dLOCO,50,169.50668607791886,SUCCESS,,evaluate_only
400,5,21161221,OT,50,15.458057284820825,SUCCESS,,evaluate_only
400,5,21161221,EOT,50,11.346601232886314,SUCCESS,,evaluate_only
400,5,21161221,FDFI,50,44.862413708120584,SUCCESS,,evaluate_only
400,5,21161221,SHAP,10,1517.732371213846,SUCCESS,,evaluate_only
600,5,21161221,CPI,50,124.13823137525469,SUCCESS,,evaluate_only
600,5,21161221,LOCO,50,97.30947220185772,SUCCESS,,evaluate_only
600,5,21161221,nLOCO,50,202.67364992573857,SUCCESS,,evaluate_only
600,5,21161221,dLOCO,50,241.14523014891893,SUCCESS,,evaluate_only
600,5,21161221,OT,50,20.255106977187097,SUCCESS,,evaluate_only
600,5,21161221,EOT,50,18.5353700700216,SUCCESS,,evaluate_only
600,5,21161221,FDFI,50,58.20838153734803,SUCCESS,,evaluate_only
600,5,21161221,SHAP,10,1482.3005568040535,SUCCESS,,evaluate_only
800,5,21161221,CPI,50,141.2253909339197,SUCCESS,,evaluate_only
800,5,21161221,LOCO,50,96.44886412424967,SUCCESS,,evaluate_only
800,5,21161221,nLOCO,50,206.82912938203663,SUCCESS,,evaluate_only
800,5,21161221,dLOCO,50,308.0531338378787,SUCCESS,,evaluate_only
800,5,21161221,OT,50,25.922060764860362,SUCCESS,,evaluate_only
800,5,21161221,EOT,50,25.42111553903669,SUCCESS,,evaluate_only
800,5,21161221,FDFI,50,73.23469483293593,SUCCESS,,evaluate_only
800,5,21161221,SHAP,10,1516.3768472699448,SUCCESS,,evaluate_only
1000,5,21161221,CPI,50,161.72317711124197,SUCCESS,,evaluate_only
1000,5,21161221,LOCO,50,98.69598835986108,SUCCESS,,evaluate_only
1000,5,21161221,nLOCO,50,196.39845783170313,SUCCESS,,evaluate_only
1000,5,21161221,dLOCO,50,388.4481710246764,SUCCESS,,evaluate_only
1000,5,21161221,OT,50,35.75088960677385,SUCCESS,,evaluate_only
1000,5,21161221,EOT,50,35.01982040796429,SUCCESS,,evaluate_only
1000,5,21161221,FDFI,50,91.16090615605935,SUCCESS,,evaluate_only
1000,5,21161221,SHAP,10,1608.3740547872148,SUCCESS,,evaluate_only
200,6,21161321,CPI,50,90.39165148790926,SUCCESS,,evaluate_only
200,6,21161321,LOCO,50,101.74710627133027,SUCCESS,,evaluate_only
200,6,21161321,nLOCO,50,207.2756106699817,SUCCESS,,evaluate_only
200,6,21161321,dLOCO,50,122.52598828123882,SUCCESS,,evaluate_only
200,6,21161321,OT,50,7.335526887793094,SUCCESS,,evaluate_only
200,6,21161321,EOT,50,5.874082542024553,SUCCESS,,evaluate_only
200,6,21161321,FDFI,50,26.669340564869344,SUCCESS,,evaluate_only
200,6,21161321,SHAP,10,1513.027217224706,SUCCESS,,evaluate_only
400,6,21161321,CPI,50,107.0680430312641,SUCCESS,,evaluate_only
400,6,21161321,LOCO,50,102.19297313690186,SUCCESS,,evaluate_only
400,6,21161321,nLOCO,50,211.20029621198773,SUCCESS,,evaluate_only
400,6,21161321,dLOCO,50,161.5033794627525,SUCCESS,,evaluate_only
400,6,21161321,OT,50,13.627600428182632,SUCCESS,,evaluate_only
400,6,21161321,EOT,50,11.041800908744335,SUCCESS,,evaluate_only
400,6,21161321,FDFI,50,45.55471711605787,SUCCESS,,evaluate_only
400,6,21161321,SHAP,10,1574.272515125107,SUCCESS,,evaluate_only
600,6,21161321,CPI,50,123.86197628127411,SUCCESS,,evaluate_only
600,6,21161321,LOCO,50,98.57226266898215,SUCCESS,,evaluate_only
600,6,21161321,nLOCO,50,202.18697238899767,SUCCESS,,evaluate_only
600,6,21161321,dLOCO,50,234.0699050910771,SUCCESS,,evaluate_only
600,6,21161321,OT,50,20.342020872049034,SUCCESS,,evaluate_only
600,6,21161321,EOT,50,18.196985064074397,SUCCESS,,evaluate_only
600,6,21161321,FDFI,50,56.6106140287593,SUCCESS,,evaluate_only
600,6,21161321,SHAP,10,1535.195913179312,SUCCESS,,evaluate_only
800,6,21161321,CPI,50,144.244604724925,SUCCESS,,evaluate_only
800,6,21161321,LOCO,50,94.44087196793407,SUCCESS,,evaluate_only
800,6,21161321,nLOCO,50,211.04527729889378,SUCCESS,,evaluate_only
800,6,21161321,dLOCO,50,304.8436057884246,SUCCESS,,evaluate_only
800,6,21161321,OT,50,25.779112240765244,SUCCESS,,evaluate_only
800,6,21161321,EOT,50,25.464403426274657,SUCCESS,,evaluate_only
800,6,21161321,FDFI,50,72.55350459134206,SUCCESS,,evaluate_only
800,6,21161321,SHAP,10,1596.3712857966311,SUCCESS,,evaluate_only
1000,6,21161321,CPI,50,165.20931709883735,SUCCESS,,evaluate_only
1000,6,21161321,LOCO,50,98.94007511297241,SUCCESS,,evaluate_only
1000,6,21161321,nLOCO,50,198.44810204487294,SUCCESS,,evaluate_only
1000,6,21161321,dLOCO,50,379.73295893799514,SUCCESS,,evaluate_only
1000,6,21161321,OT,50,34.650946978945285,SUCCESS,,evaluate_only
1000,6,21161321,EOT,50,34.65321802906692,SUCCESS,,evaluate_only
1000,6,21161321,FDFI,50,91.20264828763902,SUCCESS,,evaluate_only
1000,6,21161321,SHAP,10,1531.8886070610024,SUCCESS,,evaluate_only
200,7,21161421,CPI,50,89.74640203174204,SUCCESS,,evaluate_only
200,7,21161421,LOCO,50,96.15600063884631,SUCCESS,,evaluate_only
200,7,21161421,nLOCO,50,194.93103054491803,SUCCESS,,evaluate_only
200,7,21161421,dLOCO,50,115.03894881112501,SUCCESS,,evaluate_only
200,7,21161421,OT,50,7.112383528146893,SUCCESS,,evaluate_only
200,7,21161421,EOT,50,6.489158843643963,SUCCESS,,evaluate_only
200,7,21161421,FDFI,50,26.069602525327355,SUCCESS,,evaluate_only
200,7,21161421,SHAP,10,1307.848712446168,SUCCESS,,evaluate_only
400,7,21161421,CPI,50,111.99028077395633,SUCCESS,,evaluate_only
400,7,21161421,LOCO,50,98.32438249606639,SUCCESS,,evaluate_only
400,7,21161421,nLOCO,50,196.28957751905546,SUCCESS,,evaluate_only
400,7,21161421,dLOCO,50,154.34834504313767,SUCCESS,,evaluate_only
400,7,21161421,OT,50,13.725144838914275,SUCCESS,,evaluate_only
400,7,21161421,EOT,50,10.865131651051342,SUCCESS,,evaluate_only
400,7,21161421,FDFI,50,51.38046235498041,SUCCESS,,evaluate_only
400,7,21161421,SHAP,10,1249.013653529808,SUCCESS,,evaluate_only
600,7,21161421,CPI,50,152.1999388341792,SUCCESS,,evaluate_only
600,7,21161421,LOCO,50,82.13377646403387,SUCCESS,,evaluate_only
600,7,21161421,nLOCO,50,164.69152922788635,SUCCESS,,evaluate_only
600,7,21161421,dLOCO,50,213.1856701229699,SUCCESS,,evaluate_only
600,7,21161421,OT,50,23.09649950172752,SUCCESS,,evaluate_only
600,7,21161421,EOT,50,24.314060614909977,SUCCESS,,evaluate_only
600,7,21161421,FDFI,50,72.76507890596986,SUCCESS,,evaluate_only
600,7,21161421,SHAP,10,1390.5272031766362,SUCCESS,,evaluate_only
800,7,21161421,CPI,50,142.33401372702792,SUCCESS,,evaluate_only
800,7,21161421,LOCO,50,95.4568992848508,SUCCESS,,evaluate_only
